0,3,England,Joe,Danger,Rosta,JoeRosta0@gmail.com,9385878,1568,Point West Drive,Victoria,Alberta,Canada
1,2,Canada,Karim,Danger,Buraqitz,KarimBuraqitz1@gmail.com,3327637,161,Echo Avenue,Victoria,Alberta,Canada
2,3,Canada,Sam,Danger,Smith,SamSmith2@gmail.com,5383929,596,Echo Avenue,Calgary,British Columbia,Canada
3,2,England,Donnel,Danger,Burna,DonnelBurna3@gmail.com,5525076,1052,Gerimia Street,Victoria,Ontario,Canada
4,1,England,Joe,Danger,Hirwa,JoeHirwa4@gmail.com,10849477,1012,Main Street,Toronto,Ontario,Canada
5,2,England,Sam,Danger,Joel,SamJoel5@gmail.com,4381420,1636,Gerimia Street,London,Ontario,Canada
6,3,England,Isaac,Danger,Smith,IsaacSmith6@gmail.com,7013895,1926,Gerimia Street,London,Ontario,Canada
7,2,England,Donnel,Danger,Rosta,DonnelRosta7@gmail.com,1519573,1441,Echo Avenue,Calgary,Ontario,Canada
8,1,England,Joe,Danger,Hirwa,JoeHirwa8@gmail.com,9495657,672,Gerimia Street,Toronto,Ontario,Canada
9,2,Canada,Joe,Danger,Joel,JoeJoel9@gmail.com,2291782,890,Echo Avenue,London,Ontario,Canada
10,2,Canada,Sarah,Danger,Smith,SarahSmith10@gmail.com,7805066,231,Point West Drive,Toronto,Ontario,Canada
11,3,Canada,Bill,Danger,Hirwa,BillHirwa11@gmail.com,10885040,1074,Echo Avenue,Calgary,Ontario,Canada
12,1,England,Bill,Danger,Burna,BillBurna12@gmail.com,5030374,1110,Gerimia Street,Victoria,Ontario,Canada
13,2,England,Karim,Danger,Smith,KarimSmith13@gmail.com,2776083,991,Echo Avenue,Toronto,Alberta,Canada
14,3,Canada,Sarah,Danger,Burna,SarahBurna14@gmail.com,7033304,1779,Echo Avenue,Calgary,British Columbia,Canada
15,3,England,Isaac,Danger,Buraqitz,IsaacBuraqitz15@gmail.com,8874977,1170,Echo Avenue,Calgary,British Columbia,Canada
16,3,England,Joe,Danger,Gimba,JoeGimba16@gmail.com,6170245,1224,Point West Drive,Calgary,Ontario,Canada
18,1,Canada,Donnel,Danger,Rosta,DonnelRosta18@gmail.com,7361641,650,Point West Drive,London,Ontario,Canada
19,3,England,Bill,Danger,Joel,BillJoel19@gmail.com,9559120,675,Point West Drive,Calgary,British Columbia,Canada
20,2,Canada,Sarah,Danger,Buraqitz,SarahBuraqitz20@gmail.com,2157196,660,Echo Avenue,London,Ontario,Canada
21,2,England,Isaac,Danger,Joel,IsaacJoel21@gmail.com,11027632,886,Point West Drive,Calgary,British Columbia,Canada
22,2,Canada,Donnel,Danger,Hirwa,DonnelHirwa22@gmail.com,5972783,125,Point West Drive,Calgary,Ontario,Canada
23,1,England,Karim,Danger,Burna,KarimBurna23@gmail.com,8452112,1683,Gerimia Street,London,British Columbia,Canada
24,2,England,Joe,Danger,Smith,JoeSmith24@gmail.com,7506581,894,Main Street,London,Ontario,Canada
25,3,England,Bill,Danger,Burna,BillBurna25@gmail.com,8365037,1709,Gerimia Street,Calgary,Alberta,Canada
26,2,England,Donnel,Danger,Burna,DonnelBurna26@gmail.com,9327358,1121,Gerimia Street,Toronto,British Columbia,Canada
27,2,England,Joe,Danger,Rosta,JoeRosta27@gmail.com,10815697,1037,Point West Drive,London,British Columbia,Canada
28,3,Canada,Donnel,Danger,Buraqitz,DonnelBuraqitz28@gmail.com,8112946,475,Main Street,Calgary,Ontario,Canada
29,3,Canada,Bill,Danger,Smith,BillSmith29@gmail.com,7705016,1828,Main Street,London,Alberta,Canada
30,3,Canada,Sarah,Danger,Gimba,SarahGimba30@gmail.com,3250784,1022,Point West Drive,Calgary,British Columbia,Canada
31,1,England,Sam,Danger,Joel,SamJoel31@gmail.com,2063418,56,Echo Avenue,Toronto,Alberta,Canada
32,1,Canada,Donnel,Danger,Burna,DonnelBurna32@gmail.com,3211878,1939,Gerimia Street,Calgary,British Columbia,Canada
33,3,England,Isaac,Danger,Gimba,IsaacGimba33@gmail.com,3456930,1271,Point West Drive,Victoria,Alberta,Canada
34,2,England,Sarah,Danger,Burna,SarahBurna34@gmail.com,10046696,1596,Main Street,London,Ontario,Canada
35,2,Canada,Bill,Danger,Joel,BillJoel35@gmail.com,4583674,962,Gerimia Street,London,British Columbia,Canada
36,2,England,Sam,Danger,Buraqitz,SamBuraqitz36@gmail.com,4481606,1171,Echo Avenue,Calgary,Ontario,Canada
37,3,Canada,Karim,Danger,Gimba,KarimGimba37@gmail.com,6888438,468,Echo Avenue,London,Alberta,Canada
38,3,Canada,Sarah,Danger,Buraqitz,SarahBuraqitz38@gmail.com,10345583,134,Main Street,Toronto,British Columbia,Canada
39,1,England,Isaac,Danger,Burna,IsaacBurna39@gmail.com,10959468,1633,Point West Drive,Victoria,British Columbia,Canada
40,1,Canada,Sarah,Danger,Gimba,SarahGimba40@gmail.com,7390705,952,Echo Avenue,London,British Columbia,Canada
41,1,England,Sarah,Danger,Burna,SarahBurna41@gmail.com,5376711,742,Echo Avenue,Victoria,Alberta,Canada
42,3,England,Karim,Danger,Smith,KarimSmith42@gmail.com,5515469,722,Point West Drive,Victoria,Alberta,Canada
43,1,Canada,Donnel,Danger,Joel,DonnelJoel43@gmail.com,4123519,74,Main Street,Calgary,Ontario,Canada
44,2,Canada,Karim,Danger,Hirwa,KarimHirwa44@gmail.com,8776381,1427,Point West Drive,Victoria,Ontario,Canada
45,1,England,Bill,Danger,Buraqitz,BillBuraqitz45@gmail.com,7404514,1155,Gerimia Street,Calgary,British Columbia,Canada
46,1,Canada,Donnel,Danger,Rosta,DonnelRosta46@gmail.com,2932543,1871,Echo Avenue,Victoria,Ontario,Canada
47,3,Canada,Bill,Danger,Joel,BillJoel47@gmail.com,4302945,1237,Gerimia Street,Victoria,Ontario,Canada
48,3,England,Donnel,Danger,Hirwa,DonnelHirwa48@gmail.com,6315541,1811,Echo Avenue,Victoria,British Columbia,Canada
49,3,Canada,Sarah,Danger,Joel,SarahJoel49@gmail.com,8952614,1666,Point West Drive,London,Ontario,Canada
50,3,England,Sarah,Danger,Burna,SarahBurna50@gmail.com,7584864,1578,Echo Avenue,London,British Columbia,England
51,2,England,Sam,Danger,Gimba,SamGimba51@gmail.com,9563499,1308,Point West Drive,London,Ontario,England
52,1,Canada,Joe,Danger,Burna,JoeBurna52@gmail.com,9013986,1736,Gerimia Street,Calgary,British Columbia,Canada
53,1,England,Sam,Danger,Buraqitz,SamBuraqitz53@gmail.com,4830814,982,Gerimia Street,Victoria,Alberta,England
54,2,England,Bill,Danger,Gimba,BillGimba54@gmail.com,2097789,1821,Point West Drive,London,Ontario,England
55,2,Canada,Karim,Danger,Hirwa,KarimHirwa55@gmail.com,6592880,1506,Point West Drive,Calgary,British Columbia,Canada
56,2,England,Bill,Danger,Burna,BillBurna56@gmail.com,10180496,19,Main Street,Calgary,Ontario,England
57,3,England,Isaac,Danger,Hirwa,IsaacHirwa57@gmail.com,3471761,1152,Gerimia Street,Toronto,British Columbia,England
58,1,Canada,Karim,Danger,Buraqitz,KarimBuraqitz58@gmail.com,7532117,1614,Point West Drive,Toronto,Ontario,Canada
59,3,Canada,Bill,Danger,Buraqitz,BillBuraqitz59@gmail.com,10732294,209,Point West Drive,Victoria,British Columbia,Canada
